                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.16,                 1.6549,                 1.1309,                 1.0649,                0.93606,                   0.94,                0.95261,                0.64677,                0.91604,                   0.92,                0.92329,                0.60185,                 1.1422,                 1.4439,                0.89906,                 1.0545,               0.070423,              0.0032864,              0.0032864
                      1,                 1.0568,                 1.2125,                0.92675,                 1.0088,                0.95994,                0.95864,                0.96437,                0.63153,                0.93992,                0.93871,                0.94205,                0.60245,                 1.1768,                 1.4143,                0.76474,                 1.0721,               0.040095,               0.006292,               0.006292
                      2,                 1.0688,                 1.3548,                 0.9366,                 1.0069,                0.95953,                   0.92,                0.97604,                0.71447,                0.95678,                0.88567,                0.94765,                0.62408,                  1.023,                 1.4576,                0.92785,                 1.0156,              0.0094372,              0.0089677,              0.0089677
                      3,                 1.1067,                 1.3488,                 1.0426,                 1.0102,                0.97129,                   0.94,                0.97014,                0.60395,                0.97727,                   0.96,                 0.9904,                0.60078,                  1.081,                 1.3633,                 1.0012,                 1.0125,               0.008515,               0.008515,               0.008515
                      4,                 1.0674,                 1.2138,                 1.0097,                 1.0086,                0.93963,                   0.92,                0.93505,                0.64298,                 0.9192,                    0.9,                 0.9174,                0.60654,                 1.1293,                 1.4123,                0.97503,                 1.0358,               0.008515,               0.008515,               0.008515
                      5,                 1.0196,                 1.2007,                0.90971,                 1.0089,                0.97956,                0.95828,                0.98475,                0.72139,                0.97956,                0.95828,                0.98475,                0.70213,                 1.0078,                 1.2661,                0.77108,                0.97233,                0.00802,                0.00802,                0.00802
                      6,                 1.0963,                 1.2807,                0.91708,                 1.0335,                0.99095,                   0.98,                0.99254,                0.71483,                0.97037,                   0.96,                0.96827,                0.70934,                 1.0309,                  1.292,                0.78365,                0.97603,               0.007525,               0.007525,               0.007525
                      7,                 1.0067,                 1.2197,                0.86503,                0.99053,                0.99786,                   0.98,                0.99318,                0.74204,                0.99786,                   0.98,                0.99318,                0.70793,                0.96396,                 1.1491,                0.68684,                0.96892,                0.00703,                0.00703,                0.00703
                      8,                 1.0076,                 1.1638,                0.83827,                0.99783,                0.90558,                   0.96,                0.96107,                0.70658,                0.86753,                   0.92,                0.92409,                0.65941,                 1.0032,                 1.3032,                0.71331,                0.97914,               0.006535,               0.006535,               0.006535
                      9,                0.97966,                 1.2516,                0.81648,                0.97583,                0.97612,                   0.96,                0.96766,                0.69263,                0.93537,                   0.92,                0.91206,                0.63091,                 1.0729,                 1.3409,                0.75782,                 0.9996,                0.00604,                0.00604,                0.00604
                     10,                0.97868,                 1.2657,                0.84796,                0.96342,                   0.98,                0.97985,                0.98891,                0.73336,                0.95993,                   0.96,                0.97491,                 0.7006,                 1.0113,                 1.2419,                0.67311,                0.97548,               0.005545,               0.005545,               0.005545
                     11,                 0.9634,                 1.3307,                 0.7594,                0.95348,                0.97935,                   0.98,                0.99347,                 0.7133,                0.97935,                   0.98,                0.99347,                 0.6462,                 1.0696,                 1.4376,                0.69144,                 0.9969,                0.00505,                0.00505,                0.00505
                     12,                0.98896,                 1.2962,                0.78127,                 0.9911,                0.97914,                0.93902,                0.97482,                0.70766,                      1,                0.95888,                0.99167,                0.66259,                 1.0096,                  1.312,                0.68185,                0.99501,               0.004555,               0.004555,               0.004555
                     13,                0.96288,                 1.3325,                0.73681,                0.95595,                      1,                0.97695,                0.99387,                0.72926,                      1,                0.97695,                0.99387,                0.73945,                 1.0439,                 1.2298,                0.64414,                0.99783,                0.00406,                0.00406,                0.00406
                     14,                0.93494,                 1.2491,                0.72508,                0.98694,                0.95976,                   0.98,                0.97201,                0.73126,                 0.9401,                   0.96,                0.96953,                0.68404,                0.99394,                 1.3275,                0.62893,                0.98905,               0.003565,               0.003565,               0.003565
                     15,                0.94532,                 1.3381,                0.75503,                0.96034,                      1,                0.97764,                0.99423,                0.72056,                0.97955,                0.95791,                0.99048,                0.66774,                 1.0254,                 1.3586,                0.63915,                0.97966,                0.00307,                0.00307,                0.00307
                     16,                0.95859,                  1.221,                0.71163,                0.95973,                      1,                0.99599,                  0.995,                0.69274,                0.98018,                0.98903,                0.99304,                0.67937,                 1.0083,                 1.2898,                0.60292,                0.97516,               0.002575,               0.002575,               0.002575
                     17,                0.92938,                 1.2231,                0.70049,                0.95055,                      1,                0.97804,                0.99352,                 0.7185,                0.95911,                0.93837,                0.97578,                 0.7522,                 1.0152,                 1.1936,                0.59255,                0.97241,                0.00208,                0.00208,                0.00208
                     18,                0.88583,                 1.2052,                0.66284,                0.95244,                0.97773,                   0.98,                0.99383,                0.73133,                0.92421,                0.97561,                0.97161,                0.73994,                0.95343,                  1.171,                0.57157,                 0.9666,               0.001585,               0.001585,               0.001585
                     19,                0.89079,                 1.2032,                0.64393,                0.94623,                0.96036,                0.96922,                0.97861,                0.73984,                0.93193,                   0.98,                0.97583,                0.72624,                0.92222,                 1.2203,                0.57135,                 0.9555,                0.00109,                0.00109,                0.00109
